trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",20,0,-98.80399539090472,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",20,12,-40.84620671280916,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",25,0,-49.959504815505355,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",30,9,-148.61679437936263,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 3}",1
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",20,10,8.004362779820218,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,0,-49.028693517423754,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",30,18,-36.91275226824955,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",30,2,-50.19282178291121,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,0,-2.520298545581423,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,0,-107.37168817258109,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,0,-57.45691689907622,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",30,0,-192.54783339915105,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",30,23,-2.810631767615082,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,0,-25.971575328834394,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",30,0,-124.33388339328303,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,0,-64.12579930825655,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,12,-15.207298665981037,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",25,19,-0.6564141124454177,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",35,0,-60.53642025096518,"{0: 25, 1: 3, 2: 6, 3: 1, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",30,12,-72.27577104847909,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,0,-49.50822412557108,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,-50.919908461626825,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",25,7,-19.020736483394142,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
